gene_id,gene_name,library
ENSG00000227775.3,RP1-283E3.4,gc26
ENSG00000215790.6,SLC35E2,gc26
ENSG00000008130.15,NADK,gc26
ENSG00000078369.17,GNB1,gc26
ENSG00000231050.1,RP1-140A9.1,gc26
ENSG00000169885.9,CALML6,gc26
ENSG00000178821.12,TMEM52,gc26
ENSG00000142609.17,CFAP74,gc26
ENSG00000233542.1,RP11-547D24.1,gc26
ENSG00000187730.8,GABRD,gc26
ENSG00000226969.1,RP11-547D24.3,gc26
ENSG00000067606.16,PRKCZ,gc26
ENSG00000271806.1,RP5-892K4.1,gc26
ENSG00000182873.5,PRKCZ-AS1,gc26
ENSG00000162585.16,FAAP20,gc26
ENSG00000234396.3,RP11-181G12.4,gc26
ENSG00000157933.9,SKI,gc26
ENSG00000116151.13,MORN1,gc26
ENSG00000272161.1,RP4-713A8.1,gc26
ENSG00000269896.2,RP4-740C4.5,gc26
ENSG00000272420.1,RP4-740C4.7,gc26
ENSG00000157916.19,RER1,gc26
ENSG00000157911.9,PEX10,gc26
ENSG00000149527.17,PLCH2,gc26
ENSG00000224387.1,RP3-395M20.2,gc26
ENSG00000229393.1,RP3-395M20.3,gc26
ENSG00000157881.13,PANK4,gc26
ENSG00000197921.5,HES5,gc26
ENSG00000272449.1,RP3-395M20.12,gc26
ENSG00000238164.6,RP3-395M20.8,gc26
ENSG00000157873.17,TNFRSF14,gc26
ENSG00000225931.3,RP3-395M20.7,gc26
ENSG00000228037.1,RP3-395M20.9,gc26
ENSG00000157870.14,FAM213B,gc26
ENSG00000142606.15,MMEL1,gc26
ENSG00000237058.1,RP13-436F16.1,gc26
ENSG00000215912.12,TTC34,gc26
ENSG00000283259.1,ABC14-1188822O7.1,gc26
ENSG00000233234.1,RP11-740P5.2,gc26
ENSG00000231630.1,RP11-740P5.3,gc26
ENSG00000169717.6,ACTRT2,gc26
ENSG00000177133.10,LINC00982,gc26
ENSG00000142611.16,PRDM16,gc26
ENSG00000283572.1,MIR4251,gc26
ENSG00000226286.1,RP1-163G9.2,gc26
ENSG00000279839.1,RP11-193J6.1,gc26
ENSG00000272235.1,RP11-22L13.1,gc26
ENSG00000130762.14,ARHGEF16,gc26
ENSG00000272088.1,RP11-168F9.2,gc26
ENSG00000162591.15,MEGF6,gc26
ENSG00000207776.1,MIR551A,gc26
ENSG00000238260.1,RP11-46F15.2,gc26
ENSG00000158109.14,TPRG1L,gc26
ENSG00000116213.15,WRAP73,gc26
ENSG00000078900.14,TP73,gc26
ENSG00000227589.1,RP5-1092A11.5,gc26
ENSG00000235131.1,RP5-1092A11.2,gc26
ENSG00000227372.11,TP73-AS1,gc26
ENSG00000276189.1,TP73-AS1,gc26
ENSG00000162592.9,CCDC27,gc26
ENSG00000235169.7,SMIM1,gc26
ENSG00000130764.9,LRRC47,gc26
ENSG00000266075.2,RN7SL574P,gc26
ENSG00000272153.1,RP1-286D6.5,gc26
ENSG00000116198.12,CEP104,gc26
ENSG00000169598.15,DFFB,gc26
ENSG00000198912.10,C1orf174,gc26
ENSG00000236423.5,LINC01134,gc26
ENSG00000233304.6,LINC01346,gc26
ENSG00000226374.2,LINC01345,gc26
ENSG00000229280.1,EEF1DP6,gc26
ENSG00000235054.3,LINC01777,gc26
ENSG00000227169.2,RP1-37J18.1,gc26
ENSG00000232596.2,LINC01646,gc26
ENSG00000196581.10,AJAP1,gc26
ENSG00000231510.1,RP11-542C10.1,gc26
ENSG00000260972.1,RP1-58B11.1,gc26
ENSG00000283356.1,RP3-491M17.1,gc26
ENSG00000236948.2,RP11-154H17.1,gc26
ENSG00000264341.1,MIR4417,gc26
ENSG00000264101.1,MIR4689,gc26
ENSG00000131697.17,NPHP4,gc26
ENSG00000069424.14,KCNAB2,gc26
ENSG00000116254.17,CHD5,gc26
ENSG00000116251.9,RPL22,gc26
ENSG00000226944.1,RP1-120G22.11,gc26
ENSG00000158286.12,RNF207,gc26
ENSG00000116237.15,ICMT,gc26
ENSG00000225077.2,LINC00337,gc26
ENSG00000173673.7,HES3,gc26
ENSG00000158292.6,GPR153,gc26
ENSG00000097021.19,ACOT7,gc26
ENSG00000271746.1,RP1-202O8.3,gc26
ENSG00000069812.11,HES2,gc26
ENSG00000187017.15,ESPN,gc26
ENSG00000265392.1,MIR4252,gc26
ENSG00000231868.1,RP1-202O8.2,gc26
ENSG00000215788.9,TNFRSF25,gc26
ENSG00000171680.21,PLEKHG5,gc26
ENSG00000162408.10,NOL9,gc26
ENSG00000253022.1,RNU6-731P,gc26
ENSG00000229519.2,RP11-58A11.2,gc26
ENSG00000173662.20,TAS1R1,gc26
ENSG00000204859.12,ZBTB48,gc26
ENSG00000162413.16,KLHL21,gc26
ENSG00000116273.5,PHF13,gc26
ENSG00000041988.15,THAP3,gc26
ENSG00000007923.15,DNAJC11,gc26
ENSG00000228750.6,LINC01672,gc26
ENSG00000237436.1,RP11-312B8.1,gc26
ENSG00000171735.18,CAMTA1,gc26
ENSG00000227950.1,RP11-312B8.2,gc26
ENSG00000237365.1,RP11-334N17.1,gc26
ENSG00000207056.1,RNU1-8P,gc26
ENSG00000237402.1,CAMTA1-IT1,gc26
ENSG00000237728.2,RP3-453P22.2,gc26
ENSG00000225126.1,RP4-549F15.1,gc26
ENSG00000270171.1,RP11-338N10.1,gc26
ENSG00000270035.1,RP11-338N10.2,gc26
ENSG00000269978.1,RP11-338N10.3,gc26
ENSG00000049245.12,VAMP3,gc26
ENSG00000269925.1,RP3-467L1.6,gc26
ENSG00000049246.14,PER3,gc26
ENSG00000236266.1,RP3-467L1.4,gc26
ENSG00000049247.13,UTS2,gc26
ENSG00000049249.8,TNFRSF9,gc26
ENSG00000270330.1,RP5-892F13.2,gc26
ENSG00000116288.12,PARK7,gc26
ENSG00000200344.1,Y_RNA,gc26
ENSG00000116285.12,ERRFI1,gc26
ENSG00000238290.1,RP11-431K24.1,gc26
ENSG00000232848.1,CTA-215D11.4,gc26
ENSG00000229305.1,RP11-431K24.2,gc26
ENSG00000227634.2,LINC01714,gc26
ENSG00000200975.1,RNU1-7P,gc26
ENSG00000233645.1,RP11-431K24.4,gc26
ENSG00000251977.1,RNU6-991P,gc26
ENSG00000162426.14,SLC45A1,gc26
ENSG00000252254.1,Y_RNA,gc26
ENSG00000142599.17,RERE,gc26
ENSG00000232912.5,RP5-1115A15.1,gc26
ENSG00000221083.1,SNORA77,gc26
ENSG00000270282.1,RP5-1115A15.2,gc26
ENSG00000234619.1,RPL7P11,gc26
ENSG00000224315.2,RPL7P7,gc26
ENSG00000222511.2,Y_RNA,gc26
ENSG00000226545.1,RP4-633I8.3,gc26
ENSG00000228423.2,RP4-633I8.4,gc26
ENSG00000229716.2,RPL23AP19,gc26
ENSG00000074800.13,ENO1,gc26
ENSG00000274258.1,MIR6728,gc26
ENSG00000236269.1,ENO1-IT1,gc26
ENSG00000230679.1,ENO1-AS1,gc26
ENSG00000201725.1,RNU6-304P,gc26
ENSG00000238249.2,HMGN2P17,gc26
ENSG00000232208.2,RP3-477M7.5,gc26
ENSG00000232663.2,RP3-477M7.6,gc26
ENSG00000131686.14,CA6,gc26
ENSG00000265141.2,RN7SL451P,gc26
ENSG00000197241.3,SLC2A7,gc26
ENSG00000142583.17,SLC2A5,gc26
ENSG00000252404.1,SCARNA16,gc26
ENSG00000180758.11,GPR157,gc26
ENSG00000228526.6,MIR34AHG,gc26
ENSG00000284357.1,MIR34A,gc26
ENSG00000234546.3,LINC01759,gc26
ENSG00000281937.1,RP3-510D11.4,gc26
ENSG00000049239.12,H6PD,gc26
ENSG00000171621.13,SPSB1,gc26
ENSG00000252956.1,RNA5SP40,gc26
ENSG00000235263.1,RP13-392I16.1,gc26
ENSG00000171612.6,SLC25A33,gc26
ENSG00000231181.1,RP13-15M17.1,gc26
ENSG00000188807.12,TMEM201,gc26
ENSG00000171608.15,PIK3CD,gc26
ENSG00000179840.5,PIK3CD-AS1,gc26
ENSG00000233268.3,RP11-558F24.2,gc26
ENSG00000231789.2,PIK3CD-AS2,gc26
ENSG00000171603.16,CLSTN1,gc26
ENSG00000271264.1,MZT1P1,gc26
ENSG00000280113.2,RP11-84A14.7,gc26
ENSG00000178585.14,CTNNBIP1,gc26
ENSG00000223989.1,RP11-84A14.5,gc26
ENSG00000162441.11,LZIC,gc26
ENSG00000228150.1,RP11-84A14.4,gc26
ENSG00000173614.13,NMNAT1,gc26
ENSG00000202415.1,RN7SKP269,gc26
ENSG00000283611.1,RP11-84A14.6,gc26
ENSG00000265521.1,MIR5697,gc26
ENSG00000241326.1,RP11-807G9.2,gc26
ENSG00000162444.11,RBP7,gc26
ENSG00000130939.18,UBE4B,gc26
ENSG00000224340.1,RP11-496H15.2,gc26
ENSG00000233623.2,PGAM1P11,gc26
ENSG00000201746.1,RNU6-828P,gc26
ENSG00000054523.17,KIF1B,gc26
ENSG00000264881.1,MIR1273D,gc26
ENSG00000199562.1,RNU6-37P,gc26
ENSG00000264501.2,RN7SL731P,gc26
ENSG00000142657.20,PGD,gc26
ENSG00000271989.1,RP4-736L20.3,gc26
ENSG00000251503.8,APITD1-CORT,gc26
ENSG00000175279.21,CENPS,gc26
ENSG00000241563.3,CORT,gc26
ENSG00000160049.11,DFFA,gc26
ENSG00000203469.2,RP5-1113E3.3,gc26
ENSG00000142655.12,PEX14,gc26
ENSG00000243267.3,RN7SL614P,gc26
ENSG00000130940.14,CASZ1,gc26
ENSG00000272078.1,RP4-734G22.3,gc26
ENSG00000225158.2,HSPE1P24,gc26
ENSG00000175262.14,C1orf127,gc26
ENSG00000215785.2,CFL1P6,gc26
ENSG00000120948.16,TARDBP,gc26
ENSG00000277726.4,RP4-635E18.9,gc26
ENSG00000009724.16,MASP2,gc26
ENSG00000271895.2,RP4-635E18.8,gc26
ENSG00000116649.9,SRM,gc26
ENSG00000171824.13,EXOSC10,gc26
ENSG00000226849.1,RP4-635E18.7,gc26
ENSG00000230337.1,RP4-635E18.6,gc26
ENSG00000198793.12,MTOR,gc26
ENSG00000225602.5,MTOR-AS1,gc26
ENSG00000253086.1,RNU6-537P,gc26
ENSG00000171819.4,ANGPTL7,gc26
ENSG00000207451.1,RNU6-291P,gc26
ENSG00000238173.1,RPL39P6,gc26
ENSG00000120942.13,UBIAD1,gc26
ENSG00000238199.1,UBE2V2P3,gc26
ENSG00000224338.2,MTCYBP45,gc26
ENSG00000204624.7,DISP3,gc26
ENSG00000235643.1,LINC01647,gc26
ENSG00000116661.9,FBXO2,gc26
ENSG00000132879.13,FBXO44,gc26
ENSG00000116663.10,FBXO6,gc26
ENSG00000116670.14,MAD2L2,gc26
ENSG00000162490.6,DRAXIN,gc26
ENSG00000177674.15,AGTRAP,gc26
ENSG00000215910.7,C1orf167,gc26
ENSG00000177553.6,RP11-56N19.5,gc26
ENSG00000177000.10,MTHFR,gc26
ENSG00000011021.21,CLCN6,gc26
ENSG00000242349.5,NPPA-AS1,gc26
ENSG00000276470.1,NPPA-AS1_1,gc26
ENSG00000278852.1,NPPA-AS1_2,gc26
ENSG00000175206.10,NPPA,gc26
ENSG00000275915.1,NPPA-AS1_3,gc26
ENSG00000120937.8,NPPB,gc26
ENSG00000224904.1,RP5-934G17.6,gc26
ENSG00000199347.1,RNU5E-1,gc26
ENSG00000201801.1,RNU5E-4P,gc26
ENSG00000116685.15,KIAA2013,gc26
ENSG00000083444.16,PLOD1,gc26
ENSG00000116688.16,MFN2,gc26
ENSG00000270914.1,RP5-1077B9.5,gc26
ENSG00000116691.10,MIIP,gc26
ENSG00000202461.1,Y_RNA,gc26
ENSG00000276869.1,MIR6729,gc26
ENSG00000243539.3,RN7SL649P,gc26
ENSG00000120949.14,TNFRSF8,gc26
ENSG00000201135.1,RNU6-777P,gc26
ENSG00000227875.2,RPL23AP89,gc26
ENSG00000283789.1,MIR7846,gc26
ENSG00000028137.18,TNFRSF1B,gc26
ENSG00000263676.1,MIR4632,gc26
ENSG00000225196.2,RPL10P17,gc26
ENSG00000252969.1,SNORA70,gc26
ENSG00000048707.13,VPS13D,gc26
ENSG00000239149.1,SNORA59A,gc26
ENSG00000229484.1,RP5-888M10.2,gc26
ENSG00000162496.8,DHRS3,gc26
ENSG00000221340.1,RNU6ATAC18P,gc26
ENSG00000276830.1,MIR6730,gc26
ENSG00000272482.1,RP11-474O21.5,gc26
ENSG00000204518.2,AADACL4,gc26
ENSG00000226166.2,RP11-474O21.2,gc26
ENSG00000188984.11,AADACL3,gc26
ENSG00000157330.9,C1orf158,gc26
ENSG00000116726.4,PRAMEF12,gc26
ENSG00000116721.9,PRAMEF1,gc26
ENSG00000228338.1,LINC01784,gc26
ENSG00000239810.3,PRAMEF11,gc26
ENSG00000231103.2,PRAMEF30P,gc26
ENSG00000179172.9,HNRNPCL1,gc26
ENSG00000120952.4,PRAMEF2,gc26
ENSG00000243073.3,PRAMEF4,gc26
ENSG00000187545.5,PRAMEF10,gc26
ENSG00000204510.5,PRAMEF7,gc26
ENSG00000207434.1,RNU6-1072P,gc26
ENSG00000234064.1,PRAMEF29P,gc26
ENSG00000232423.6,PRAMEF6,gc26
ENSG00000274178.2,PRAMEF28P,gc26
ENSG00000274764.5,PRAMEF27,gc26
ENSG00000277058.2,HNRNPCL3,gc26
ENSG00000229571.7,PRAMEF25,gc26
ENSG00000277862.1,PRAMEF34P,gc26
ENSG00000236179.1,PRAMEF35P,gc26
ENSG00000275774.2,HNRNPCL2,gc26
ENSG00000229978.1,PRAMEF36P,gc26
ENSG00000233336.1,RP13-221M14.2,gc26
ENSG00000280267.4,PRAMEF26,gc26
ENSG00000179412.10,HNRNPCL4,gc26
ENSG00000204505.4,PRAMEF9,gc26
ENSG00000279169.2,PRAMEF13,gc26
ENSG00000279804.2,PRAMEF18,gc26
ENSG00000250894.1,PRAMEF31P,gc26
ENSG00000270601.4,PRAMEF5,gc26
ENSG00000231219.1,PRAMEF32P,gc26
ENSG00000207511.1,RNU6-771P,gc26
ENSG00000182330.10,PRAMEF8,gc26
ENSG00000237700.2,PRAMEF33,gc26
ENSG00000204501.7,PRAMEF15,gc26
ENSG00000228229.2,RP11-219C24.10,gc26
ENSG00000204481.7,PRAMEF14,gc26
ENSG00000204480.7,PRAMEF19,gc26
ENSG00000204479.4,PRAMEF17,gc26
ENSG00000204478.9,PRAMEF20,gc26
ENSG00000162494.5,LRRC38,gc26
ENSG00000259961.1,RP4-597A16.2,gc26
ENSG00000215909.3,BRWD1P1,gc26
ENSG00000162493.16,PDPN,gc26
ENSG00000222952.1,RNA5SP41,gc26
ENSG00000237445.2,CTA-520D8.2,gc26
ENSG00000253085.1,SCARNA11,gc26
ENSG00000116731.22,PRDM2,gc26
ENSG00000189337.16,KAZN,gc26
ENSG00000252151.1,RNU6-1265P,gc26
ENSG00000231606.1,RP11-344F13.1,gc26
ENSG00000234593.2,RP4-704D23.1,gc26
ENSG00000235829.1,TBCAP2,gc26
ENSG00000175147.11,TMEM51-AS1,gc26
ENSG00000171729.13,TMEM51,gc26
ENSG00000204464.7,C1orf195,gc26
ENSG00000215720.4,RP1-21O18.3,gc26
ENSG00000278480.1,RP5-903E17.2,gc26
ENSG00000142621.19,FHAD1,gc26
ENSG00000233485.1,RP3-467K16.2,gc26
ENSG00000236045.1,RP3-467K16.7,gc26
ENSG00000228140.1,RP3-467K16.4,gc26
ENSG00000142634.12,EFHD2,gc26
ENSG00000162438.11,CTRC,gc26
ENSG00000142615.7,CELA2A,gc26
ENSG00000215704.9,CELA2B,gc26
ENSG00000132906.17,CASP9,gc26
ENSG00000116138.12,DNAJC16,gc26
ENSG00000251866.1,SCARNA21,gc26
ENSG00000272510.1,RP4-680D5.8,gc26
ENSG00000116771.5,AGMAT,gc26
ENSG00000237301.1,RP4-680D5.2,gc26
ENSG00000235084.3,CHCHD2P6,gc26
ENSG00000252417.1,RNU7-179P,gc26
ENSG00000236500.1,CD24P1,gc26
ENSG00000197312.11,DDI2,gc26
ENSG00000215695.1,RSC1A1,gc26
ENSG00000271742.1,RP4-680D5.9,gc26
ENSG00000116786.11,PLEKHM2,gc26
ENSG00000237938.5,RP11-288I21.1,gc26
ENSG00000162461.7,SLC25A34,gc26
ENSG00000224459.1,RP11-169K16.4,gc26
ENSG00000162460.6,TMEM82,gc26
ENSG00000162458.12,FBLIM1,gc26
ENSG00000224321.1,RPL12P14,gc26
ENSG00000233954.6,UQCRHL,gc26
ENSG00000178715.8,RP11-169K16.8,gc26
ENSG00000179743.4,FLJ37453,gc26
ENSG00000065526.10,SPEN,gc26
ENSG00000270620.1,RP1-134O19.3,gc26
ENSG00000116809.11,ZBTB17,gc26
ENSG00000234607.2,RP11-5P18.1,gc26
ENSG00000231353.1,RP11-5P18.3,gc26
ENSG00000275503.1,RP11-5P18.11,gc26
ENSG00000224966.4,TBC1D3P6,gc26
ENSG00000183888.4,C1orf64,gc26
ENSG00000233078.1,RP11-5P18.5,gc26
ENSG00000173641.17,HSPB7,gc26
ENSG00000186510.11,CLCNKA,gc26
ENSG00000232456.1,RP11-5P18.10,gc26
ENSG00000184908.17,CLCNKB,gc26
ENSG00000185519.8,FAM131C,gc26
ENSG00000142627.12,EPHA2,gc26
ENSG00000227959.1,RP11-276H7.2,gc26
ENSG00000224621.1,RP11-276H7.3,gc26
ENSG00000234166.1,ARHGEF19-AS1,gc26
ENSG00000142632.16,ARHGEF19,gc26
ENSG00000237276.8,ANO7L1,gc26
ENSG00000132881.11,RSG1,gc26
ENSG00000233929.1,MT1XP1,gc26
ENSG00000037637.10,FBXO42,gc26
ENSG00000055070.16,SZRD1,gc26
ENSG00000226457.1,RP11-430L17.1,gc26
ENSG00000187144.11,SPATA21,gc26
ENSG00000157191.19,NECAP2,gc26
ENSG00000226029.1,LINC01772,gc26
ENSG00000080947.14,CROCCP3,gc26
ENSG00000206652.1,RNU1-1,gc26
ENSG00000261135.1,RP4-798A10.7,gc26
ENSG00000224174.2,RP4-798A10.4,gc26
ENSG00000233421.4,LINC01783,gc26
ENSG00000277344.1,RNU1-6P,gc26
ENSG00000268991.2,FAM231B,gc26
ENSG00000225710.1,RP5-875O13.6,gc26
ENSG00000219481.10,NBPF1,gc26
ENSG00000271732.1,RP5-1182A14.5,gc26
ENSG00000215908.10,CROCCP2,gc26
ENSG00000283773.1,RP5-1182A14.8,gc26
ENSG00000186301.8,MST1P2,gc26
ENSG00000282143.1,RP1-163M9.8,gc26
ENSG00000207513.1,RNU1-3,gc26
ENSG00000237847.2,FAM231A,gc26
ENSG00000280114.1,RP5-875O13.7,gc26
ENSG00000236698.1,EIF1AXP1,gc26
ENSG00000268869.5,ESPNP,gc26
ENSG00000279151.1,RP1-163M9.7,gc26
ENSG00000279132.2,FAM231C,gc26
ENSG00000282740.1,RP5-1182A14.7,gc26
ENSG00000058453.16,CROCC,gc26
ENSG00000227684.2,CROCCP4,gc26
ENSG00000207389.1,RNU1-4,gc26
ENSG00000186715.10,MST1L,gc26
ENSG00000223643.6,RP11-108M9.1,gc26
ENSG00000230239.1,RP11-108M9.2,gc26
ENSG00000263811.1,MIR3675,gc26
ENSG00000228549.3,RP11-108M9.3,gc26
ENSG00000277234.1,RNU1-5P,gc26
ENSG00000238142.1,RP11-108M9.4,gc26
ENSG00000235241.1,RP11-108M9.5,gc26
ENSG00000207005.1,RNU1-2,gc26
ENSG00000272426.1,RP11-108M9.6,gc26
ENSG00000117122.13,MFAP2,gc26
ENSG00000226526.1,RP1-37C10.3,gc26
ENSG00000159363.17,ATP13A2,gc26
ENSG00000117118.9,SDHB,gc26
ENSG00000117115.12,PADI2,gc26
ENSG00000204362.6,RP11-380J14.1,gc26
ENSG00000282843.1,RP11-380J14.4,gc26
ENSG00000142623.9,PADI1,gc26
ENSG00000142619.4,PADI3,gc26
ENSG00000266634.1,MIR3972,gc26
ENSG00000159339.13,PADI4,gc26
ENSG00000276747.1,PADI6,gc26
ENSG00000227751.1,RP1-20B21.4,gc26
ENSG00000179051.13,RCC2,gc26
ENSG00000074964.16,ARHGEF10L,gc26
ENSG00000236648.1,RP11-473A10.2,gc26
ENSG00000117148.7,ACTL8,gc26
ENSG00000261781.1,LINC01654,gc26
ENSG00000117154.11,IGSF21,gc26
ENSG00000280222.1,RP11-174G17.3,gc26
ENSG00000230035.2,RP11-174G17,gc26
ENSG00000225387.1,RP11-422P22.1,gc26
ENSG00000179023.8,KLHDC7A,gc26
ENSG00000235282.3,DYNLL1P3,gc26
ENSG00000225478.2,RP1-8B22.2,gc26
ENSG00000009709.11,PAX7,gc26
ENSG00000179002.5,TAS1R2,gc26
ENSG00000255275.3,RP13-279N23.2,gc26
ENSG00000159423.16,ALDH4A1,gc26
ENSG00000265606.1,MIR4695,gc26
ENSG00000221662.1,MIR1290,gc26
ENSG00000169991.10,IFFO2,gc26
ENSG00000272084.1,RP5-1126H10.2,gc26
ENSG00000127481.14,UBR4,gc26
ENSG00000230424.1,RP1-43E13.2,gc26
ENSG00000127463.13,EMC1,gc26
ENSG00000053372.4,MRTO4,gc26
ENSG00000211454.13,AKR7L,gc26
ENSG00000162482.4,AKR7A3,gc26
ENSG00000270728.1,RP4-657E11.10,gc26
ENSG00000053371.12,AKR7A2,gc26
ENSG00000200403.1,RNU6-1099P,gc26
ENSG00000040487.12,PQLC2,gc26
ENSG00000077549.17,CAPZB,gc26
ENSG00000240490.3,RN7SL277P,gc26
ENSG00000201609.1,RNU4-28P,gc26
ENSG00000235185.1,RP5-1056L3.1,gc26
ENSG00000173436.13,MINOS1,gc26
ENSG00000270136.5,MINOS1-NBL1,gc26
ENSG00000226396.1,RP5-1056L3.3,gc26
ENSG00000158747.13,NBL1,gc26
ENSG00000158748.3,HTR6,gc26
